Catalog format:
Year Month Day Hour Minute Second Longitude(°) Latitude(°) Depth(m) Magnitude(ML)
2021 05 27 16 44 46 99.8935 25.6189 9902.94 0.2
2021 05 27 16 45 00 99.9091 25.6608 3400.87 -0.1
2021 05 27 16 46 31 99.9362 25.5976 6075.77 0.6
2021 05 27 16 48 33 99.9867 25.5968 6446.14 1.1
2021 05 27 16 50 46 99.8949 25.6702 6728.33 -0.1
2021 05 27 16 49 42 99.9640 25.5922 4835.32 -0.2
2021 05 27 16 54 20 99.9339 25.7054 384.99 -0.4
2021 05 27 16 55 36 99.9354 25.7162 5846.50 -0.0
2021 05 27 16 59 28 99.9746 25.5605 520.21 -0.6
2021 05 27 17 04 24 99.9130 25.5561 10573.14 1.3
2021 05 27 17 06 31 99.9372 25.6412 8095.18 0.5
2021 05 27 17 07 29 99.9488 25.5547 8056.96 0.0
2021 05 27 17 10 14 99.8828 25.6745 6516.69 0.0
2021 05 27 17 11 23 99.9337 25.6357 255.66 0.1
2021 05 27 17 11 35 99.9509 25.5664 5699.52 0.1
2021 05 27 17 15 19 100.0378 25.5330 3248.02 1.0
2021 05 27 17 16 24 99.8915 25.7039 6005.23 1.1
2021 05 27 17 18 55 99.9464 25.5574 7533.74 0.3
2021 05 27 17 26 31 99.9149 25.6984 2160.42 -0.0
2021 05 27 17 29 02 99.8524 25.7359 7563.14 -0.2
2021 05 27 17 30 01 99.9069 25.6342 5217.45 0.2
2021 05 27 17 32 51 99.9454 25.5431 6840.03 -0.3
2021 05 27 17 36 08 99.9562 25.5864 2469.06 0.6
2021 05 27 17 40 08 99.9067 25.6250 6975.25 0.2
2021 05 27 17 41 39 100.0176 25.5118 5558.43 0.2
2021 05 27 17 46 45 99.9707 25.5707 6199.23 0.3
2021 05 27 17 51 19 100.0889 25.5212 2207.45 -0.5
2021 05 27 17 54 52 99.9366 25.5876 6069.89 0.3
2021 05 27 17 56 33 99.9689 25.6089 1501.98 -0.1
2021 05 27 18 02 25 99.8422 25.7145 5870.01 -0.6
2021 05 27 18 07 46 100.0169 25.5105 4920.57 0.3
2021 05 27 18 08 44 99.9842 25.5872 6399.11 -0.0
2021 05 27 18 11 15 99.8556 25.6870 4159.25 0.1
2021 05 27 18 19 12 99.8388 25.7064 6375.60 -0.6
2021 05 27 18 20 31 99.9333 25.6028 6881.18 0.5
2021 05 27 18 21 37 99.9417 25.5532 2748.31 0.1
2021 05 27 18 22 33 99.9362 25.6234 4506.11 -0.8
2021 05 27 18 26 11 99.9605 25.5815 6916.46 0.1
2021 05 27 18 28 24 99.9134 25.6254 4852.96 0.3
2021 05 27 18 29 19 99.9268 25.6488 7163.37 0.5
2021 05 27 18 41 15 99.9013 25.5518 8321.52 0.4
2021 05 27 18 42 15 99.9737 25.5676 4118.10 0.0
2021 05 27 18 43 01 99.8502 25.7561 7275.07 -0.3
2021 05 27 18 45 38 99.9027 25.6618 2372.06 -0.4
2021 05 27 18 48 15 99.9713 25.6082 6363.84 1.8
2021 05 27 18 50 47 99.8520 25.7522 7439.68 -0.4
2021 05 27 18 53 06 99.9401 25.7182 6375.60 0.6
